NDex#,name,HP,Atk,Def,SpA,SpD,Spe,height,weight,Exp Yield,EggCycles,Experience Type
32,"Nidoran-M",46,57,40,40,40,50,0.5,9,55,20,Medium Slow
33,"Nidorino",61,72,57,55,55,65,0.9,19.5,128,20,Medium Slow
34,"Nidoking",81,102,77,85,75,85,1.4,62,253,20,Medium Slow
35,"Clefairy",70,45,48,60,65,35,0.6,7.5,113,10,Fast
36,"Clefable",95,70,73,95,90,60,1.3,40,242,10,Fast
37,"Vulpix",38,41,40,50,65,65,0.6,9.9,60,20,Medium Fast
38,"Ninetales",73,76,75,81,100,100,1.1,19.9,177,20,Medium Fast
39,"Jigglypuff",115,45,20,45,25,20,0.5,5.5,95,10,Fast
40,"Wigglytuff",140,70,45,85,50,45,1,12,218,10,Fast
41,"Zubat",40,45,35,30,40,55,0.8,7.5,49,15,Medium Fast
42,"Golbat",75,80,70,65,75,90,1.6,55,159,15,Medium Fast
43,"Oddish",45,50,55,75,65,30,0.5,5.4,64,20,Medium Slow
44,"Gloom",60,65,70,85,75,40,0.8,8.6,138,20,Medium Slow
45,"Vileplume",75,80,85,110,90,50,1.2,18.6,245,20,Medium Slow
46,"Paras",35,70,55,45,55,25,0.3,5.4,57,20,Medium Fast
47,"Parasect",60,95,80,60,80,30,1,29.5,142,20,Medium Fast
48,"Venonat",60,55,50,40,55,45,1,30,61,20,Medium Fast
49,"Venomoth",70,65,60,90,75,90,1.5,12.5,158,20,Medium Fast
50,"Diglett",10,55,25,35,45,95,0.2,0.8,53,20,Medium Fast
51,"Dugtrio",35,100,50,50,70,120,0.7,33.3,149,20,Medium Fast
52,"Meowth",40,45,35,40,40,90,0.4,4.2,58,20,Medium Fast
53,"Persian",65,70,60,65,65,115,1,32,154,20,Medium Fast
54,"Psyduck",50,52,48,65,50,55,0.8,19.6,64,20,Medium Fast
55,"Golduck",80,82,78,95,80,85,1.7,76.6,175,20,Medium Fast
56,"Mankey",40,80,35,35,45,70,0.5,28,61,20,Medium Fast
57,"Primeape",65,105,60,60,70,95,1,32,159,20,Medium Fast
58,"Growlithe",55,70,45,70,50,60,0.7,19,70,20,Slow
59,"Arcanine",90,110,80,100,80,95,1.9,155,194,20,Slow
60,"Poliwag",40,50,40,40,40,90,0.6,12.4,60,20,Medium Slow
61,"Poliwhirl",65,65,65,50,50,90,1,20,135,20,Medium Slow
62,"Poliwrath",90,95,95,70,90,70,1.3,54,255,20,Medium Slow
63,"Abra",25,20,15,105,55,90,0.9,19.5,62,20,Medium Slow
64,"Kadabra",40,35,30,120,70,105,1.3,56.5,140,20,Medium Slow
65,"Alakazam",55,50,45,135,95,120,1.5,48,250,20,Medium Slow
66,"Machop",70,80,50,35,35,35,0.8,19.5,61,20,Medium Slow
67,"Machoke",80,100,70,50,60,45,1.5,70.5,142,20,Medium Slow
68,"Machamp",90,130,80,65,85,55,1.6,130,253,20,Medium Slow
69,"Bellsprout",50,75,35,70,30,40,0.7,4,60,20,Medium Slow
70,"Weepinbell",65,90,50,85,45,55,1,6.4,137,20,Medium Slow
71,"Victreebel",80,105,65,100,70,70,1.7,15.5,245,20,Medium Slow
72,"Tentacool",40,40,35,50,100,70,0.9,45.5,67,20,Slow
73,"Tentacruel",80,70,65,80,120,100,1.6,55,180,20,Slow
74,"Geodude",40,80,100,30,30,20,0.4,20,60,15,Medium Slow
75,"Graveler",55,95,115,45,45,35,1,105,137,15,Medium Slow
76,"Golem",80,120,130,55,65,45,1.4,300,248,15,Medium Slow
77,"Ponyta",50,85,55,65,65,90,1,30,82,20,Medium Fast
78,"Rapidash",65,100,70,80,80,105,1.7,95,175,20,Medium Fast
79,"Slowpoke",90,65,65,40,40,15,1.2,36,63,20,Medium Fast
80,"Slowbro",95,75,110,100,80,30,1.6,78.5,172,20,Medium Fast
81,"Magnemite",25,35,70,95,55,45,0.3,6,65,20,Medium Fast
82,"Magneton",50,60,95,120,70,70,1,60,163,20,Medium Fast
83,"Farfetch\u2019d",52,90,55,58,62,60,0.8,15,132,20,Medium Fast
84,"Doduo",35,85,45,35,35,75,1.4,39.2,62,20,Medium Fast
85,"Dodrio",60,110,70,60,60,110,1.8,85.2,165,20,Medium Fast
86,"Seel",65,45,55,45,70,45,1.1,90,65,20,Medium Fast
87,"Dewgong",90,70,80,70,95,70,1.7,120,166,20,Medium Fast
88,"Grimer",80,80,50,40,50,25,0.9,30,65,20,Medium Fast
89,"Muk",105,105,75,65,100,50,1.2,30,175,20,Medium Fast
90,"Shellder",30,65,100,45,25,40,0.3,4,61,20,Slow
91,"Cloyster",50,95,180,85,45,70,1.5,132.5,184,20,Slow
92,"Gastly",30,35,30,100,35,80,1.3,0.1,62,20,Medium Slow
93,"Haunter",45,50,45,115,55,95,1.6,0.1,142,20,Medium Slow
94,"Gengar",60,65,60,130,75,110,1.5,40.5,250,20,Medium Slow
95,"Onix",35,45,160,30,45,70,8.8,210,77,25,Medium Fast
96,"Drowzee",60,48,45,43,90,42,1,32.4,66,20,Medium Fast
97,"Hypno",85,73,70,73,115,67,1.6,75.6,169,20,Medium Fast
98,"Krabby",30,105,90,25,25,50,0.4,6.5,65,20,Medium Fast
99,"Kingler",55,130,115,50,50,75,1.3,60,166,20,Medium Fast
100,"Voltorb",40,30,50,55,55,100,0.5,10.4,66,20,Medium Fast
101,"Electrode",60,50,70,80,80,150,1.2,66.6,172,20,Medium Fast
102,"Exeggcute",60,40,80,60,45,40,0.4,2.5,65,20,Slow
103,"Exeggutor",95,95,85,125,75,55,2,120,186,20,Slow
104,"Cubone",50,50,95,40,50,35,0.4,6.5,64,20,Medium Fast
105,"Marowak",60,80,110,50,80,45,1,45,149,20,Medium Fast
106,"Hitmonlee",50,120,53,35,110,87,1.5,49.8,159,25,Medium Fast
107,"Hitmonchan",50,105,79,35,110,76,1.4,50.2,159,25,Medium Fast
108,"Lickitung",90,55,75,60,75,30,1.2,65.5,77,20,Medium Fast
109,"Koffing",40,65,95,60,45,35,0.6,1,68,20,Medium Fast
110,"Weezing",65,90,120,85,70,60,1.2,9.5,172,20,Medium Fast
111,"Rhyhorn",80,85,95,30,30,25,1,115,69,20,Slow
112,"Rhydon",105,130,120,45,45,40,1.9,120,170,20,Slow
113,"Chansey",250,5,5,35,105,50,1.1,34.6,395,40,Fast
114,"Tangela",65,55,115,100,40,60,1,35,87,20,Medium Fast
115,"Kangaskhan",105,95,80,40,80,90,2.2,80,172,20,Medium Fast
116,"Horsea",30,40,70,70,25,60,0.4,8,59,20,Medium Fast
117,"Seadra",55,65,95,95,45,85,1.2,25,154,20,Medium Fast
118,"Goldeen",45,67,60,35,50,63,0.6,15,64,20,Medium Fast
119,"Seaking",80,92,65,65,80,68,1.3,39,158,20,Medium Fast
120,"Staryu",30,45,55,70,55,85,0.8,34.5,68,20,Slow
121,"Starmie",60,75,85,100,85,115,1.1,80,182,20,Slow
122,"MrMime",40,45,65,100,120,90,1.3,54.5,161,25,Medium Fast
123,"Scyther",70,110,80,55,80,105,1.5,56,100,25,Medium Fast
124,"Jynx",65,50,35,115,95,95,1.4,40.6,159,25,Medium Fast
125,"Electabuzz",65,83,57,95,85,105,1.1,30,172,25,Medium Fast
126,"Magmar",65,95,57,100,85,93,1.3,44.5,173,25,Medium Fast
127,"Pinsir",65,125,100,55,70,85,1.5,55,175,25,Slow
128,"Tauros",75,100,95,40,70,110,1.4,88.4,172,20,Slow
129,"Magikarp",20,10,55,15,20,80,0.9,10,40,5,Slow
130,"Gyarados",95,125,79,60,100,81,6.5,235,189,5,Slow
131,"Lapras",130,85,80,85,95,60,2.5,220,187,40,Slow
132,"Ditto",48,48,48,48,48,48,0.3,4,101,20,Medium Fast
133,"Eevee",55,55,50,45,65,55,0.3,6.5,65,35,Medium Fast
134,"Vaporeon",130,65,60,110,95,65,1,29,184,35,Medium Fast
135,"Jolteon",65,65,60,110,95,130,0.8,24.5,184,35,Medium Fast
136,"Flareon",65,130,60,95,110,65,0.9,25,184,35,Medium Fast
137,"Porygon",65,60,70,85,75,40,0.8,36.5,79,20,Medium Fast
138,"Omanyte",35,40,100,90,55,35,0.4,7.5,71,30,Medium Fast
139,"Omastar",70,60,125,115,70,55,1,35,173,30,Medium Fast
140,"Kabuto",30,80,90,55,45,55,0.5,11.5,71,30,Medium Fast
141,"Kabutops",60,115,105,65,70,80,1.3,40.5,173,30,Medium Fast
142,"Aerodactyl",80,105,65,60,75,130,1.8,59,180,35,Slow
143,"Snorlax",160,110,65,65,110,30,2.1,460,189,40,Slow
144,"Articuno",90,85,100,95,125,85,1.7,55.4,290,80,Slow
145,"Zapdos",90,90,85,125,90,100,1.6,52.6,290,80,Slow
146,"Moltres",90,100,90,125,85,90,2,60,290,80,Slow
147,"Dratini",41,64,45,50,50,50,1.8,3.3,60,40,Slow
148,"Dragonair",61,84,65,70,70,70,4,16.5,147,40,Slow
149,"Dragonite",91,134,95,100,100,80,2.2,210,300,40,Slow
150,"Mewtwo",106,110,90,154,90,130,2,122,340,120,Slow
151,"Mew",100,100,100,100,100,100,0.4,4,300,120,Medium Slow
152,"Chikorita",45,49,65,49,65,45,0.9,6.4,64,20,Medium Slow
153,"Bayleef",60,62,80,63,80,60,1.2,15.8,142,20,Medium Slow
154,"Meganium",80,82,100,83,100,80,1.8,100.5,263,20,Medium Slow
155,"Cyndaquil",39,52,43,60,50,65,0.5,7.9,62,20,Medium Slow
156,"Quilava",58,64,58,80,65,80,0.9,19,142,20,Medium Slow
157,"Typhlosion",78,84,78,109,85,100,1.7,79.5,267,20,Medium Slow
158,"Totodile",50,65,64,44,48,43,0.6,9.5,63,20,Medium Slow
159,"Croconaw",65,80,80,59,63,58,1.1,25,142,20,Medium Slow
160,"Feraligatr",85,105,100,79,83,78,2.3,88.8,265,20,Medium Slow
161,"Sentret",35,46,34,35,45,20,0.8,6,43,15,Medium Fast
162,"Furret",85,76,64,45,55,90,1.8,32.5,145,15,Medium Fast
163,"Hoothoot",60,30,30,36,56,50,0.7,21.2,52,15,Medium Fast
164,"Noctowl",100,50,50,86,96,70,1.6,40.8,158,15,Medium Fast
165,"Ledyba",40,20,30,40,80,55,1,10.8,53,15,Fast
166,"Ledian",55,35,50,55,110,85,1.4,35.6,137,15,Fast
167,"Spinarak",40,60,40,40,40,30,0.5,8.5,50,15,Fast
168,"Ariados",70,90,70,60,70,40,1.1,33.5,140,15,Fast
169,"Crobat",85,90,80,70,80,130,1.8,75,268,15,Medium Fast
170,"Chinchou",75,38,38,56,56,67,0.5,12,66,20,Slow
171,"Lanturn",125,58,58,76,76,67,1.2,22.5,161,20,Slow
172,"Pichu",20,40,15,35,35,60,0.3,2,41,10,Medium Fast
173,"Cleffa",50,25,28,45,55,15,0.3,3,44,10,Fast
174,"Igglybuff",90,30,15,40,20,15,0.3,1,42,10,Fast
175,"Togepi",35,20,65,40,65,20,0.3,1.5,49,10,Fast
176,"Togetic",55,40,85,80,105,40,0.6,3.2,142,10,Fast
177,"Natu",40,50,45,70,45,70,0.2,2,64,20,Medium Fast
178,"Xatu",65,75,70,95,70,95,1.5,15,165,20,Medium Fast
179,"Mareep",55,40,40,65,45,35,0.6,7.8,56,20,Medium Slow
180,"Flaaffy",70,55,55,80,60,45,0.8,13.3,128,20,Medium Slow
181,"Ampharos",90,75,85,115,90,55,1.4,61.5,255,20,Medium Slow
182,"Bellossom",75,80,95,90,100,50,0.4,5.8,245,20,Medium Slow
183,"Marill",70,20,50,20,50,40,0.4,8.5,88,10,Fast
184,"Azumarill",100,50,80,60,80,50,0.8,28.5,210,10,Fast
185,"Sudowoodo",70,100,115,30,65,30,1.2,38,144,20,Medium Fast
186,"Politoed",90,75,75,90,100,70,1.1,33.9,250,20,Medium Slow
187,"Hoppip",35,35,40,35,55,50,0.4,0.5,50,20,Medium Slow
188,"Skiploom",55,45,50,45,65,80,0.6,1,119,20,Medium Slow
189,"Jumpluff",75,55,70,55,95,110,0.8,3,230,20,Medium Slow
190,"Aipom",55,70,55,40,55,85,0.8,11.5,72,20,Fast
191,"Sunkern",30,30,30,30,30,30,0.3,1.8,36,20,Medium Slow
192,"Sunflora",75,75,55,105,85,30,0.8,8.5,149,20,Medium Slow
193,"Yanma",65,65,45,75,45,95,1.2,38,78,20,Medium Fast
194,"Wooper",55,45,45,25,25,15,0.4,8.5,42,20,Medium Fast
195,"Quagsire",95,85,85,65,65,35,1.4,75,151,20,Medium Fast
196,"Espeon",65,65,60,130,95,110,0.9,26.5,184,35,Medium Fast
197,"Umbreon",95,65,110,60,130,65,1,27,184,35,Medium Fast
198,"Murkrow",60,85,42,85,42,91,0.5,2.1,81,20,Medium Slow
199,"Slowking",95,75,80,100,110,30,2,79.5,172,20,Medium Fast
200,"Misdreavus",60,60,60,85,85,85,0.7,1,87,25,Fast
201,"Unown",48,72,48,72,48,48,0.5,5,118,40,Medium Fast
202,"Wobbuffet",190,33,58,33,58,33,1.3,28.5,142,20,Medium Fast
203,"Girafarig",70,80,65,90,65,85,1.5,41.5,159,20,Medium Fast
204,"Pineco",50,65,90,35,35,15,0.6,7.2,58,20,Medium Fast
205,"Forretress",75,90,140,60,60,40,1.2,125.8,163,20,Medium Fast
206,"Dunsparce",100,70,70,65,65,45,1.5,14,145,20,Medium Fast
207,"Gligar",65,75,105,35,65,85,1.1,64.8,86,20,Medium Slow
208,"Steelix",75,85,200,55,65,30,9.2,400,179,25,Medium Fast
209,"Snubbull",60,80,50,40,40,30,0.6,7.8,60,20,Fast
210,"Granbull",90,120,75,60,60,45,1.4,48.7,158,20,Fast
211,"Qwilfish",65,95,85,55,55,85,0.5,3.9,88,20,Medium Fast
212,"Scizor",70,130,100,55,80,65,1.8,118,175,25,Medium Fast
213,"Shuckle",20,10,230,10,230,5,0.6,20.5,177,20,Medium Slow
214,"Heracross",80,125,75,40,95,85,1.5,54,175,25,Slow
215,"Sneasel",55,95,55,35,75,115,0.9,28,86,20,Medium Slow
216,"Teddiursa",60,80,50,50,50,40,0.6,8.8,66,20,Medium Fast
217,"Ursaring",90,130,75,75,75,55,1.8,125.8,175,20,Medium Fast
218,"Slugma",40,40,40,70,40,20,0.7,35,50,20,Medium Fast
219,"Magcargo",60,50,120,90,80,30,0.8,55,151,20,Medium Fast
220,"Swinub",50,50,40,30,30,50,0.4,6.5,50,20,Slow
221,"Piloswine",100,100,80,60,60,50,1.1,55.8,158,20,Slow
222,"Corsola",65,55,95,65,95,35,0.6,5,144,20,Fast
223,"Remoraid",35,65,35,65,35,65,0.6,12,60,20,Medium Fast
224,"Octillery",75,105,75,105,75,45,0.9,28.5,168,20,Medium Fast
225,"Delibird",45,55,45,65,45,75,0.9,16,116,20,Fast
226,"Mantine",85,40,70,80,140,70,2.1,220,170,25,Slow
227,"Skarmory",65,80,140,40,70,70,1.7,50.5,163,25,Slow
228,"Houndour",45,60,30,80,50,65,0.6,10.8,66,20,Slow
229,"Houndoom",75,90,50,110,80,95,1.4,35,175,20,Slow
230,"Kingdra",75,95,95,95,95,85,1.8,152,270,20,Medium Fast
231,"Phanpy",90,60,60,40,40,40,0.5,33.5,66,20,Medium Fast
232,"Donphan",90,120,120,60,60,50,1.1,120,175,20,Medium Fast
233,"Porygon2",85,80,90,105,95,60,0.6,32.5,180,20,Medium Fast
234,"Stantler",73,95,62,85,65,85,1.4,71.2,163,20,Slow
235,"Smeargle",55,20,35,20,45,75,1.2,58,88,20,Fast
236,"Tyrogue",35,35,35,35,35,35,0.7,21,42,25,Medium Fast
237,"Hitmontop",50,95,95,35,110,70,1.4,48,159,25,Medium Fast
238,"Smoochum",45,30,15,85,65,65,0.4,6,61,25,Medium Fast
239,"Elekid",45,63,37,65,55,95,0.6,23.5,72,25,Medium Fast
240,"Magby",45,75,37,70,55,83,0.7,21.4,73,25,Medium Fast
241,"Miltank",95,80,105,40,70,100,1.2,75.5,172,20,Slow
242,"Blissey",255,10,10,75,135,55,1.5,46.8,635,40,Fast
243,"Raikou",90,85,75,115,100,115,1.9,178,290,80,Slow
244,"Entei",115,115,85,90,75,100,2.1,198,290,80,Slow
245,"Suicune",100,75,115,90,115,85,2,187,290,80,Slow
246,"Larvitar",50,64,50,45,50,41,0.6,72,60,40,Slow
247,"Pupitar",70,84,70,65,70,51,1.2,152,144,40,Slow
248,"Tyranitar",100,134,110,95,100,61,2,202,300,40,Slow
249,"Lugia",106,90,130,90,154,110,5.2,216,340,120,Slow
250,"Ho-Oh",106,130,90,110,154,90,3.8,199,340,120,Slow
251,"Celebi",100,100,100,100,100,100,0.6,5,300,120,Medium Slow
252,"Treecko",40,45,35,65,55,70,0.5,5,62,20,Medium Slow
253,"Grovyle",50,65,45,85,65,95,0.9,21.6,142,20,Medium Slow
254,"Sceptile",70,85,65,105,85,120,1.7,52.2,265,20,Medium Slow
255,"Torchic",45,60,40,70,50,45,0.4,2.5,62,20,Medium Slow
256,"Combusken",60,85,60,85,60,55,0.9,19.5,142,20,Medium Slow
257,"Blaziken",80,120,70,110,70,80,1.9,52,265,20,Medium Slow
258,"Mudkip",50,70,50,50,50,40,0.4,7.6,62,20,Medium Slow
259,"Marshtomp",70,85,70,60,70,50,0.7,28,142,20,Medium Slow
260,"Swampert",100,110,90,85,90,60,1.5,81.9,268,20,Medium Slow
261,"Poochyena",35,55,35,30,30,35,0.5,13.6,56,15,Medium Fast
262,"Mightyena",70,90,70,60,60,70,1,37,147,15,Medium Fast
263,"Zigzagoon",38,30,41,30,41,60,0.4,17.5,56,15,Medium Fast
264,"Linoone",78,70,61,50,61,100,0.5,32.5,147,15,Medium Fast
265,"Wurmple",45,45,35,20,30,20,0.3,3.6,56,15,Medium Fast
266,"Silcoon",50,35,55,25,25,15,0.6,10,72,15,Medium Fast
267,"Beautifly",60,70,50,100,50,65,1,28.4,198,15,Medium Fast
268,"Cascoon",50,35,55,25,25,15,0.7,11.5,72,15,Medium Fast
269,"Dustox",60,50,70,50,90,65,1.2,31.6,193,15,Medium Fast
270,"Lotad",40,30,30,40,50,30,0.5,2.6,44,15,Medium Slow
271,"Lombre",60,50,50,60,70,50,1.2,32.5,119,15,Medium Slow
272,"Ludicolo",80,70,70,90,100,70,1.5,55,240,15,Medium Slow
273,"Seedot",40,40,50,30,30,30,0.5,4,44,15,Medium Slow
274,"Nuzleaf",70,70,40,60,40,60,1,28,119,15,Medium Slow
275,"Shiftry",90,100,60,90,60,80,1.3,59.6,240,15,Medium Slow
276,"Taillow",40,55,30,30,30,85,0.3,2.3,54,15,Medium Slow
277,"Swellow",60,85,60,75,50,125,0.7,19.8,159,15,Medium Slow
278,"Wingull",40,30,30,55,30,85,0.6,9.5,54,20,Medium Fast
279,"Pelipper",60,50,100,95,70,65,1.2,28,154,20,Medium Fast
280,"Ralts",28,25,25,45,35,40,0.4,6.6,40,20,Slow
281,"Kirlia",38,35,35,65,55,50,0.8,20.2,97,20,Slow
282,"Gardevoir",68,65,65,125,115,80,1.6,48.4,259,20,Slow
283,"Surskit",40,30,32,50,52,65,0.5,1.7,54,15,Medium Fast
284,"Masquerain",70,60,62,100,82,80,0.8,3.6,159,15,Medium Fast
285,"Shroomish",60,40,60,40,60,35,0.4,4.5,59,15,Fluctuating
286,"Breloom",60,130,80,60,60,70,1.2,39.2,161,15,Fluctuating
287,"Slakoth",60,60,60,35,35,30,0.8,24,56,15,Slow
288,"Vigoroth",80,80,80,55,55,90,1.4,46.5,154,15,Slow
289,"Slaking",150,160,100,95,65,100,2,130.5,285,15,Slow
290,"Nincada",31,45,90,30,30,40,0.5,5.5,53,15,Erratic
291,"Ninjask",61,90,45,50,50,160,0.8,12,160,15,Erratic
292,"Shedinja",1,90,45,30,30,40,0.8,1.2,83,15,Erratic
293,"Whismur",64,51,23,51,23,28,0.6,16.3,48,20,Medium Slow
294,"Loudred",84,71,43,71,43,48,1,40.5,126,20,Medium Slow
295,"Exploud",104,91,63,91,73,68,1.5,84,245,20,Medium Slow
296,"Makuhita",72,60,30,20,30,25,1,86.4,47,20,Fluctuating
297,"Hariyama",144,120,60,40,60,50,2.3,253.8,166,20,Fluctuating
298,"Azurill",50,20,40,20,40,20,0.2,2,38,10,Fast
299,"Nosepass",30,45,135,45,90,30,1,97,75,20,Medium Fast
300,"Skitty",50,45,45,35,35,50,0.6,11,52,15,Fast
301,"Delcatty",70,65,65,55,55,90,1.1,32.6,140,15,Fast
302,"Sableye",50,75,75,65,65,50,0.5,11,133,25,Medium Slow
303,"Mawile",50,85,85,55,55,50,0.6,11.5,133,20,Fast
304,"Aron",50,70,100,40,40,30,0.4,60,66,35,Slow
305,"Lairon",60,90,140,50,50,40,0.9,120,151,35,Slow
306,"Aggron",70,110,180,60,60,50,2.1,360,265,35,Slow
307,"Meditite",30,40,55,40,55,60,0.6,11.2,56,20,Medium Fast
308,"Medicham",60,60,75,60,75,80,1.3,31.5,144,20,Medium Fast
309,"Electrike",40,45,40,65,40,65,0.6,15.2,59,20,Slow
310,"Manectric",70,75,60,105,60,105,1.5,40.2,166,20,Slow
311,"Plusle",60,50,40,85,75,95,0.4,4.2,142,20,Medium Fast
312,"Minun",60,40,50,75,85,95,0.4,4.2,142,20,Medium Fast
313,"Volbeat",65,73,75,47,85,85,0.7,17.7,151,15,Erratic
314,"Illumise",65,47,75,73,85,85,0.6,17.7,151,15,Fluctuating
315,"Roselia",50,60,45,100,80,65,0.3,2,140,20,Medium Slow
316,"Gulpin",70,43,53,43,53,40,0.4,10.3,60,20,Fluctuating
317,"Swalot",100,73,83,73,83,55,1.7,80,163,20,Fluctuating
318,"Carvanha",45,90,20,65,20,65,0.8,20.8,61,20,Slow
319,"Sharpedo",70,120,40,95,40,95,1.8,88.8,161,20,Slow
320,"Wailmer",130,70,35,70,35,60,2,130,80,40,Fluctuating
321,"Wailord",170,90,45,90,45,60,14.5,398,175,40,Fluctuating
322,"Numel",60,60,40,65,45,35,0.7,24,61,20,Medium Fast
323,"Camerupt",70,100,70,105,75,40,1.9,220,161,20,Medium Fast
324,"Torkoal",70,85,140,85,70,20,0.5,80.4,165,20,Medium Fast
325,"Spoink",60,25,35,70,80,60,0.7,30.6,66,20,Fast
326,"Grumpig",80,45,65,90,110,80,0.9,71.5,165,20,Fast
327,"Spinda",60,60,60,60,60,60,1.1,5,126,15,Fast
328,"Trapinch",45,100,45,45,45,10,0.7,15,58,20,Medium Slow
329,"Vibrava",50,70,50,50,50,70,1.1,15.3,119,20,Medium Slow
330,"Flygon",80,100,80,80,80,100,2,82,260,20,Medium Slow
331,"Cacnea",50,85,40,85,40,35,0.4,51.3,67,20,Medium Slow
332,"Cacturne",70,115,60,115,60,55,1.3,77.4,166,20,Medium Slow
333,"Swablu",45,40,60,40,75,50,0.4,1.2,62,20,Erratic
334,"Altaria",75,70,90,70,105,80,1.1,20.6,172,20,Erratic
335,"Zangoose",73,115,60,60,60,90,1.3,40.3,160,20,Erratic
336,"Seviper",73,100,60,100,60,65,2.7,52.5,160,20,Fluctuating
337,"Lunatone",90,55,65,95,85,70,1,168,161,25,Fast
338,"Solrock",90,95,85,55,65,70,1.2,154,161,25,Fast
339,"Barboach",50,48,43,46,41,60,0.4,1.9,58,20,Medium Fast
340,"Whiscash",110,78,73,76,71,60,0.9,23.6,164,20,Medium Fast
341,"Corphish",43,80,65,50,35,35,0.6,11.5,62,15,Fluctuating
342,"Crawdaunt",63,120,85,90,55,55,1.1,32.8,164,15,Fluctuating
343,"Baltoy",40,40,55,40,70,55,0.5,21.5,60,20,Medium Fast
344,"Claydol",60,70,105,70,120,75,1.5,108,175,20,Medium Fast
345,"Lileep",66,41,77,61,87,23,1,23.8,71,30,Erratic
346,"Cradily",86,81,97,81,107,43,1.5,60.4,173,30,Erratic
347,"Anorith",45,95,50,40,50,75,0.7,12.5,71,30,Erratic
348,"Armaldo",75,125,100,70,80,45,1.5,68.2,173,30,Erratic
349,"Feebas",20,15,20,10,55,80,0.6,7.4,40,20,Erratic
350,"Milotic",95,60,79,100,125,81,6.2,162,189,20,Erratic
351,"Castform",70,70,70,70,70,70,0.3,0.8,147,25,Medium Fast
352,"Kecleon",60,90,70,60,120,40,1,22,154,20,Medium Slow
353,"Shuppet",44,75,35,63,33,45,0.6,2.3,59,25,Fast
354,"Banette",64,115,65,83,63,65,1.1,12.5,159,25,Fast
355,"Duskull",20,40,90,30,90,25,0.8,15,59,25,Fast
356,"Dusclops",40,70,130,60,130,25,1.6,30.6,159,25,Fast
357,"Tropius",99,68,83,72,87,51,2,100,161,25,Slow
358,"Chimecho",75,50,80,95,90,65,0.6,1,159,25,Fast
359,"Absol",65,130,60,75,60,75,1.2,47,163,25,Medium Slow
360,"Wynaut",95,23,48,23,48,23,0.6,14,52,20,Medium Fast
361,"Snorunt",50,50,50,50,50,50,0.7,16.8,60,20,Medium Fast
362,"Glalie",80,80,80,80,80,80,1.5,256.5,168,20,Medium Fast
363,"Spheal",70,40,50,55,50,25,0.8,39.5,58,20,Medium Slow
364,"Sealeo",90,60,70,75,70,45,1.1,87.6,144,20,Medium Slow
365,"Walrein",110,80,90,95,90,65,1.4,150.6,265,20,Medium Slow
366,"Clamperl",35,64,85,74,55,32,0.4,52.5,69,20,Erratic
367,"Huntail",55,104,105,94,75,52,1.7,27,170,20,Erratic
368,"Gorebyss",55,84,105,114,75,52,1.8,22.6,170,20,Erratic
